locationId,userId,isMoving,timestamp,odometer,latitude,longitude,accuracy,speed,heading,altitude,activityType,batteryCharging,batteryLevel,activityConfidence,used,source,purpose
1eae5130-927a-11ee-b90b-2bb54559ddd1,d637a1e0-8c17-11ed-9b50-ebf2379a0353,True,2023-12-04T07:51:08.009Z,104188,38.0156947,23.8352204,17.7,-1,-1,259.7,in_vehicle,False,0.98,100,True,tracking,"{'primaryActivity': 'Other', 'amenity': 'parcel_locker', 'place_name': 'N/A', 'address': 'N/A', 'distance': 26.19752742663318}"
1ecbc440-927a-11ee-b90b-2bb54559ddd1,d637a1e0-8c17-11ed-9b50-ebf2379a0353,True,2023-12-04T07:51:08.009Z,104188,38.0156947,23.8352204,17.7,-1,-1,259.7,in_vehicle,False,0.98,100,True,tracking,"{'primaryActivity': 'Other', 'amenity': 'parcel_locker', 'place_name': 'N/A', 'address': 'N/A', 'distance': 26.19752742663318}"
1eea6fd0-927a-11ee-b90b-2bb54559ddd1,d637a1e0-8c17-11ed-9b50-ebf2379a0353,True,2023-12-04T07:51:53.765Z,104225,38.0155029,23.8348729,53,4.46,237.83,263.4,in_vehicle,False,0.98,100,True,tracking,"{'primaryActivity': 'Other', 'amenity': 'parcel_locker', 'place_name': 'N/A', 'address': 'N/A', 'distance': 61.297929918672644}"
1f130670-927a-11ee-b90b-2bb54559ddd1,d637a1e0-8c17-11ed-9b50-ebf2379a0353,True,2023-12-04T07:51:56.600Z,104225,38.0153451,23.8348691,116.1,4.72,203.92,264.4,in_vehicle,False,0.98,100,False,tracking,"{'primaryActivity': 'Meal / Restaurant', 'amenity': 'cafe', 'place_name': 'Σεμεδάκι', 'address': 'N/A', 'distance': 72.42052169699483}"
1f2dba60-927a-11ee-b90b-2bb54559ddd1,d637a1e0-8c17-11ed-9b50-ebf2379a0353,True,2023-12-04T07:52:01.660Z,104225,38.0155631,23.8348486,43.8,1.58,322.47,263.7,in_vehicle,False,0.98,100,True,tracking,"{'primaryActivity': 'Other', 'amenity': 'parcel_locker', 'place_name': 'N/A', 'address': 'N/A', 'distance': 58.15777498420469}"
1f44c4d0-927a-11ee-b90b-2bb54559ddd1,d637a1e0-8c17-11ed-9b50-ebf2379a0353,True,2023-12-04T07:52:09.521Z,104225,38.0154245,23.8345878,122.4,3.12,239.33,263.4,in_vehicle,False,0.98,100,False,tracking,"{'primaryActivity': 'Meal / Restaurant', 'amenity': 'cafe', 'place_name': 'Σεμεδάκι', 'address': 'N/A', 'distance': 47.67747394704371}"
1f6433b0-927a-11ee-b90b-2bb54559ddd1,d637a1e0-8c17-11ed-9b50-ebf2379a0353,True,2023-12-04T07:52:14.536Z,104225,38.0153959,23.8347924,53.2,1.25,149.72,263.7,in_vehicle,False,0.98,100,True,tracking,"{'primaryActivity': 'Meal / Restaurant', 'amenity': 'cafe', 'place_name': 'Σεμεδάκι', 'address': 'N/A', 'distance': 63.67059977926312}"
1f77bbb0-927a-11ee-b90b-2bb54559ddd1,d637a1e0-8c17-11ed-9b50-ebf2379a0353,True,2023-12-04T07:52:23.573Z,104225,38.0152281,23.8349931,122.4,3.57,133.21,264.4,in_vehicle,False,0.98,100,False,tracking,"{'primaryActivity': 'Other', 'amenity': 'parcel_locker', 'place_name': 'N/A', 'address': 'N/A', 'distance': 81.65998730337284}"
1f94e0a0-927a-11ee-b90b-2bb54559ddd1,d637a1e0-8c17-11ed-9b50-ebf2379a0353,True,2023-12-04T07:52:29.605Z,104225,38.0153436,23.8347609,42.2,1.34,291.83,263.4,in_vehicle,False,0.98,100,True,tracking,"{'primaryActivity': 'Meal / Restaurant', 'amenity': 'cafe', 'place_name': 'Σεμεδάκι', 'address': 'N/A', 'distance': 64.99528103405787}"
1faef850-927a-11ee-b90b-2bb54559ddd1,d637a1e0-8c17-11ed-9b50-ebf2379a0353,True,2023-12-04T07:52:34.624Z,104225,38.0154613,23.834507,43,4.29,299.89,262.3,in_vehicle,False,0.98,100,True,tracking,"{'primaryActivity': 'Meal / Restaurant', 'amenity': 'cafe', 'place_name': 'Σεμεδάκι', 'address': 'N/A', 'distance': 39.77304184430106}"
1fc73b40-927a-11ee-b90b-2bb54559ddd1,d637a1e0-8c17-11ed-9b50-ebf2379a0353,True,2023-12-04T07:52:45.292Z,104225,38.0152556,23.8347708,30.5,2.34,139.31,263.4,in_vehicle,False,0.98,100,True,tracking,"{'primaryActivity': 'Meal / Restaurant', 'amenity': 'cafe', 'place_name': 'Σεμεδάκι', 'address': 'N/A', 'distance': 72.28902485536838}"
1fe857d0-927a-11ee-b90b-2bb54559ddd1,d637a1e0-8c17-11ed-9b50-ebf2379a0353,True,2023-12-04T07:52:48.056Z,104225,38.0152447,23.8346108,27,3.35,256.03,263.4,in_vehicle,False,0.98,100,True,tracking,"{'primaryActivity': 'Meal / Restaurant', 'amenity': 'cafe', 'place_name': 'Σεμεδάκι', 'address': 'N/A', 'distance': 64.25938911805787}"
1ffd8d80-927a-11ee-b90b-2bb54559ddd1,d637a1e0-8c17-11ed-9b50-ebf2379a0353,True,2023-12-04T07:52:50.882Z,104269,38.0153453,23.8344163,27.3,5.82,296.28,262.3,in_vehicle,False,0.98,100,True,tracking,"{'primaryActivity': 'Meal / Restaurant', 'amenity': 'cafe', 'place_name': 'Σεμεδάκι', 'address': 'N/A', 'distance': 46.01992874114262}"
37c5cf40-927a-11ee-b90b-2bb54559ddd1,d637a1e0-8c17-11ed-9b50-ebf2379a0353,True,2023-12-04T07:53:05.990Z,104312,38.0150147,23.8341602,21,6.49,200.49,263.3,in_vehicle,False,0.98,100,True,tracking,"{'primaryActivity': 'Meal / Restaurant', 'amenity': 'cafe', 'place_name': 'Σεμεδάκι', 'address': 'N/A', 'distance': 78.47942303827236}"
37f4a770-927a-11ee-b90b-2bb54559ddd1,d637a1e0-8c17-11ed-9b50-ebf2379a0353,True,2023-12-04T07:53:11.041Z,104347,38.0147248,23.8339801,21.8,7.03,205.47,264.4,in_vehicle,False,0.98,100,True,tracking,"{'primaryActivity': 'Other', 'amenity': 'place_of_worship', 'place_name': 'Ιερός Ναός Αγίου Ανδρέου', 'address': 'N/A', 'distance': 62.92494190667083}"
382e5510-927a-11ee-b90b-2bb54559ddd1,d637a1e0-8c17-11ed-9b50-ebf2379a0353,True,2023-12-04T07:53:16.078Z,104347,38.0145651,23.8339687,22.3,3.91,188.05,265.4,in_vehicle,False,0.98,100,True,tracking,"{'primaryActivity': 'Other', 'amenity': 'place_of_worship', 'place_name': 'Ιερός Ναός Αγίου Ανδρέου', 'address': 'N/A', 'distance': 56.95108793413671}"
384b52f0-927a-11ee-b90b-2bb54559ddd1,d637a1e0-8c17-11ed-9b50-ebf2379a0353,True,2023-12-04T07:53:21.074Z,104378,38.014549,23.8337138,26.9,4.05,258.48,265.4,in_vehicle,False,0.98,100,True,tracking,"{'primaryActivity': 'Other', 'amenity': 'place_of_worship', 'place_name': 'Ιερός Ναός Αγίου Ανδρέου', 'address': 'N/A', 'distance': 34.57040092369558}"
